,Unnamed: 0.1,Unnamed: 0,Course,College,Graduated,SCHOOL,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,Numerical_School,Numerical_Course
0,0,0,BS NURSING,CN,1,BUNGUIAO NATIONAL HIGH SCHOOL,87.6,92.88,80.93,84.63,83.75,90.6,0,0
1,1,1,BS NURSING,CN,1,NOTRE DAME OF BONGAO,83.47,87.4,72.66,79.96,91.68,87.64,1,0
2,2,2,BS NURSING,CN,1,CLARET HIGH SCHOOL,87.6,92.88,80.93,94.54,87.72,92.9,2,0
3,3,3,BS NURSING,CN,1,PILAR COLLEGE,96.08,90.94,85.06,92.22,79.78,94.79,3,0
4,4,4,BS NURSING,CN,1,CLARET HIGH SCHOOL ZAMBOANGA,99.14,96.76,93.41,34.54,98.34,97.46,4,0
5,5,5,BS NURSING,CN,1,AYALA NATIONAL HIGH SCHOOL,99.14,98.7,97.72,96.87,97.87,99.3,5,0
6,6,6,BS NURSING,CN,1,PILAR COLLEGE,52.9,48.4,80.93,75.28,79.78,68.07,3,0
7,7,7,BS NURSING,CN,1,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,86.35,77.12,93.41,44.18,83.75,86.95,6,0
8,8,8,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,86.35,90.94,93.41,84.63,83.75,91.56,7,0
9,9,9,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,96.95,96.76,76.79,84.63,79.78,95.1,7,0
10,10,10,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,91.83,94.82,91.97,84.63,79.78,93.53,7,0
11,11,11,BS NURSING,CN,1,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,74.8,54.75,76.79,75.28,33.69,72.43,6,0
12,12,12,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,93.41,94.82,97.72,89.31,63.1,95.1,7,0
13,13,13,BS NURSING,CN,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,93.41,66.85,91.97,44.18,95.65,90.6,8,0
14,14,14,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,95.51,94.82,85.06,24.91,87.72,92.51,7,0
15,15,15,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,91.83,94.82,72.66,34.54,53.29,86.26,7,0
16,16,16,BS NURSING,CN,1,NOTRE DAME OF JOLO COLLEGE,98.17,92.88,80.93,94.54,87.72,96.9,9,0
17,17,17,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,98.41,94.82,85.06,92.22,87.72,97.09,7,0
18,18,18,BS NURSING,CN,1,ZAMBOANGA CHONG HUA HIGH SCHOOL,97.83,77.12,99.14,98.29,72.9,98.05,10,0
19,19,19,BS NURSING,CN,1,REGIONAL SCIENCE HIGH SCHOOL,87.6,71.99,76.79,63.45,83.75,84.88,11,0
20,20,20,BS NURSING,CN,1,CLARET HIGH SCHOOL ZAMBOANGA,98.65,87.4,85.06,84.63,98.34,97.09,4,0
21,21,21,BS NURSING,CN,1,PILAR COLLEGE,99.93,92.88,98.86,96.87,95.65,99.68,3,0
22,22,22,BS NURSING,CN,1,MONTESSORI DE ZAMBOANGA,99.74,99.7,98.86,99.2,99.28,99.86,12,0
23,23,23,BS NURSING,CN,1,NONE,23.4,42.05,94.84,98.29,72.9,72.43,13,0
24,24,24,BS NURSING,CN,1,REGIONAL SCIENCE HIGH SCHOOL,93.41,87.4,99.43,84.63,95.65,96.54,11,0
25,25,25,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,70.75,42.05,51.68,34.54,83.75,64.72,14,1
26,26,26,BS CRIMINOLOGY,CCJE,0,SYSTEM TECHNOLOGY INSTITUTE,78.85,87.4,76.79,53.82,79.78,81.43,15,1
27,27,27,BS CRIMINOLOGY,CCJE,0,"BRENT HOSPITAL AND COLLEGES, INC.",95.51,92.88,99.43,98.29,83.75,98.31,16,1
28,28,28,BS CRIMINOLOGY,CCJE,0,NONE,93.41,90.94,66.81,44.18,95.65,90.13,13,1
29,29,29,BS CRIMINOLOGY,CCJE,0,AYALA NATIONAL HIGH SCHOOL,68.5,54.75,36.55,63.45,53.29,62.48,5,1
30,30,30,BS CRIMINOLOGY,CCJE,0,COMPUTER TECHNOLOGY INSTITUTE,55.84,90.94,59.25,70.61,79.78,72.43,17,1
31,31,31,BS CRIMINOLOGY,CCJE,0,WESTERN MINDANAO STATE UNIVERSITY,80.58,77.12,59.25,70.61,53.29,76.98,7,1
32,32,32,BS CRIMINOLOGY,CCJE,0,AYALA NATIONAL HIGH SCHOOL,70.75,92.88,85.06,75.28,72.9,82.81,5,1
33,33,33,BS CRIMINOLOGY,CCJE,0,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,68.5,87.4,59.25,53.82,72.9,73.34,18,1
34,34,34,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,61.05,48.4,80.93,53.82,43.49,63.6,14,1
35,35,35,BS CRIMINOLOGY,CCJE,0,ATENEO DE ZAMBOANGA UNIVERSITY,90.77,92.88,80.93,89.31,87.72,92.9,19,1
36,36,36,BS CRIMINOLOGY,CCJE,0,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,72.78,82.26,76.79,34.54,91.68,78.81,20,1
37,37,37,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,82.02,87.4,36.55,14.31,20.6,65.83,14,1
38,38,38,BS CRIMINOLOGY,CCJE,0,IMELDA-ESU,74.8,66.85,76.79,63.45,72.9,76.07,21,1
