,Course,College,Graduated,SCHOOL,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr
0,BS NURSING,CN,1,BUNGUIAO NATIONAL HIGH SCHOOL,87.6,92.88,80.93,84.63,83.75,90.6
1,BS NURSING,CN,1,NOTRE DAME OF BONGAO,83.47,87.4,72.66,79.96,91.68,87.64
2,BS NURSING,CN,1,CLARET HIGH SCHOOL,87.6,92.88,80.93,94.54,87.72,92.9
3,BS NURSING,CN,1,PILAR COLLEGE,96.08,90.94,85.06,92.22,79.78,94.79
4,BS NURSING,CN,1,CLARET HIGH SCHOOL ZAMBOANGA,99.14,96.76,93.41,34.54,98.34,97.46
5,BS NURSING,CN,1,AYALA NATIONAL HIGH SCHOOL,99.14,98.7,97.72,96.87,97.87,99.3
6,BS NURSING,CN,1,PILAR COLLEGE,52.9,48.4,80.93,75.28,79.78,68.07
7,BS NURSING,CN,1,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,86.35,77.12,93.41,44.18,83.75,86.95
8,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,86.35,90.94,93.41,84.63,83.75,91.56
9,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,96.95,96.76,76.79,84.63,79.78,95.1
10,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,91.83,94.82,91.97,84.63,79.78,93.53
11,BS NURSING,CN,1,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,74.8,54.75,76.79,75.28,33.69,72.43
12,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,93.41,94.82,97.72,89.31,63.1,95.1
13,BS NURSING,CN,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,93.41,66.85,91.97,44.18,95.65,90.6
14,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,95.51,94.82,85.06,24.91,87.72,92.51
15,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,91.83,94.82,72.66,34.54,53.29,86.26
16,BS NURSING,CN,1,NOTRE DAME OF JOLO COLLEGE,98.17,92.88,80.93,94.54,87.72,96.9
17,BS NURSING,CN,1,WESTERN MINDANAO STATE UNIVERSITY,98.41,94.82,85.06,92.22,87.72,97.09
18,BS NURSING,CN,1,ZAMBOANGA CHONG HUA HIGH SCHOOL,97.83,77.12,99.14,98.29,72.9,98.05
19,BS NURSING,CN,1,REGIONAL SCIENCE HIGH SCHOOL,87.6,71.99,76.79,63.45,83.75,84.88
20,BS NURSING,CN,1,CLARET HIGH SCHOOL ZAMBOANGA,98.65,87.4,85.06,84.63,98.34,97.09
21,BS NURSING,CN,1,PILAR COLLEGE,99.93,92.88,98.86,96.87,95.65,99.68
22,BS NURSING,CN,1,MONTESSORI DE ZAMBOANGA,99.74,99.7,98.86,99.2,99.28,99.86
23,BS NURSING,CN,1,NONE,23.4,42.05,94.84,98.29,72.9,72.43
24,BS NURSING,CN,1,REGIONAL SCIENCE HIGH SCHOOL,93.41,87.4,99.43,84.63,95.65,96.54
25,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,70.75,42.05,51.68,34.54,83.75,64.72
26,BS CRIMINOLOGY,CCJE,0,SYSTEM TECHNOLOGY INSTITUTE,78.85,87.4,76.79,53.82,79.78,81.43
27,BS CRIMINOLOGY,CCJE,0,"BRENT HOSPITAL AND COLLEGES, INC.",95.51,92.88,99.43,98.29,83.75,98.31
28,BS CRIMINOLOGY,CCJE,0,NONE,93.41,90.94,66.81,44.18,95.65,90.13
29,BS CRIMINOLOGY,CCJE,0,AYALA NATIONAL HIGH SCHOOL,68.5,54.75,36.55,63.45,53.29,62.48
30,BS CRIMINOLOGY,CCJE,0,COMPUTER TECHNOLOGY INSTITUTE,55.84,90.94,59.25,70.61,79.78,72.43
31,BS CRIMINOLOGY,CCJE,0,WESTERN MINDANAO STATE UNIVERSITY,80.58,77.12,59.25,70.61,53.29,76.98
