,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
12,BS AGRI,College of Agriculture,55.84,61.11,59.25,24.91,79.78,60.09,280.89,56.178,116.95,104.69
17,BS AGRI,College of Agriculture,58.56,48.4,59.25,63.45,53.29,60.09,282.95,56.59,106.96,116.74
31,BS AGRIBUS,College of Agriculture,58.56,61.11,72.66,44.18,33.69,60.09,270.2,54.04,119.67,77.87
34,BS FT,College of Agriculture,47,92.88,66.81,18.16,43.49,60.09,268.34,53.668,139.88,61.65
48,BS ARCH,College of Architecture,76.83,10.15,72.66,24.91,63.1,60.09,247.65,49.53,86.98,88.01
79,BS ARCH,College of Architecture,74.8,48.4,36.55,14.31,72.9,60.09,246.96,49.392,123.2,87.21
155,BS ARCH,College of Architecture,44.05,71.99,59.25,70.61,53.29,60.09,299.19,59.838,116.04,123.9
177,BS ARCH,College of Architecture,49.95,77.12,51.68,34.54,72.9,60.09,286.19,57.238,127.07,107.44
184,AB AS,CAIS,52.9,61.11,59.25,44.18,72.9,60.09,290.34,58.068,114.01,117.08
198,AB AS,CAIS,58.56,30.03,44.12,93.38,33.69,60.09,259.78,51.956,88.59,127.07
340,BS CRIM,CCJE,55.84,90.94,18.75,44.18,63.1,60.09,272.81,54.562,146.78,107.28
383,BS CRIM,CCJE,52.9,54.75,59.25,24.91,87.72,60.09,279.53,55.906,107.65,112.63
389,BS CRIM,CCJE,58.56,54.75,29.96,63.45,79.78,60.09,286.5,57.3,113.31,143.23
427,BS CRIM,CCJE,63.53,42.05,44.12,44.18,79.78,60.09,273.66,54.732,105.58,123.96
489,BS ABE,COE,55.84,71.99,29.96,63.45,63.1,60.09,284.34,56.868,127.83,126.55
641,BS EE,COE,58.56,66.85,85.06,24.91,20.6,60.09,255.98,51.196,125.41,45.51
889,BS F,CFES,41.05,71.99,85.06,44.18,43.49,60.09,285.77,57.154,113.04,87.67
908,BS F,CFES,63.53,35.7,51.68,44.18,79.78,60.09,274.87,54.974,99.23,123.96
916,BS HE,CHE,66.01,54.75,36.55,44.18,63.1,60.09,264.59,52.918,120.76,107.28
929,BS HE,CHE,61.05,35.7,44.12,63.45,79.78,60.09,284.1,56.82,96.75,143.23
965,BS ND,CHE,49.95,66.85,36.55,84.63,43.49,60.09,281.47,56.294,116.8,128.12
1007,BSHM,CHE,47,87.4,44.12,70.61,33.69,60.09,282.82,56.564,134.4,104.3
1030,BSCS,CCS,58.56,87.4,29.96,44.18,43.49,60.09,263.59,52.718,145.96,87.67
1031,BSCS,CCS,44.05,77.12,59.25,63.45,53.29,60.09,297.16,59.432,121.17,116.74
1051,BSCS,CCS,61.05,77.12,44.12,34.54,43.49,60.09,260.32,52.064,138.17,78.03
1066,BSCS,CCS,55.84,48.4,76.79,53.82,43.49,60.09,278.34,55.668,104.24,97.31
1120,BSIT,CCS,76.83,35.7,36.55,24.91,63.1,60.09,237.09,47.418,112.53,88.01
1128,BSIT,CCS,74.8,25.06,59.25,44.18,43.49,60.09,246.78,49.356,99.86,87.67
1158,BSIT,CCS,63.53,77.12,59.25,24.91,26.06,60.09,250.87,50.174,140.65,50.97
1221,AB ENG,CLA,55.84,71.99,51.68,79.96,15.15,60.09,274.62,54.924,127.83,95.11
1223,AB ENG,CLA,58.56,71.99,36.55,89.31,9.69,60.09,266.1,53.22,130.55,99
1262,AB ENG,CLA,55.84,30.03,76.79,24.91,87.72,60.09,275.29,55.058,85.87,112.63
1272,AB FIL,CLA,68.5,48.4,18.75,63.45,72.9,60.09,272,54.4,116.9,136.35
1277,AB FIL,CLA,52.9,66.85,72.66,63.45,26.06,60.09,281.92,56.384,119.75,89.51
1290,AB FIL,CLA,52.9,42.05,80.93,53.82,53.29,60.09,282.99,56.598,94.95,107.11
1310,AB JOURN,CLA,37.99,66.85,51.68,70.61,83.75,60.09,310.88,62.176,104.84,154.36
1329,AB JOURN,CLA,63.53,61.11,59.25,18.16,63.1,60.09,265.15,53.03,124.64,81.26
1410,AB POLSCI,CLA,58.56,61.11,36.55,70.61,53.29,60.09,280.12,56.024,119.67,123.9
1445,ABMC-BROAD,CLA,41.05,77.12,66.81,53.82,63.1,60.09,301.9,60.38,118.17,116.92
1455,ABMC-BROAD,CLA,55.84,48.4,51.68,70.61,63.1,60.09,289.63,57.926,104.24,133.71
1482,ABMC-JOURN,CLA,66.01,42.05,66.81,63.45,26.06,60.09,264.38,52.876,108.06,89.51
1488,BA ELS,CLA,74.8,15.12,66.81,63.45,33.69,60.09,253.87,50.774,89.92,97.14
1512,BAHISTORY,CLA,68.5,48.4,36.55,44.18,63.1,60.09,260.73,52.146,116.9,107.28
1532,BAHISTORY,CLA,31.88,71.99,72.66,53.82,83.75,60.09,314.1,62.82,103.87,137.57
1533,BAHISTORY,CLA,58.56,66.85,51.68,24.91,72.9,60.09,274.9,54.98,125.41,97.81
1536,BAHISTORY,CLA,63.53,35.7,51.68,34.54,83.75,60.09,269.2,53.84,99.23,118.29
1544,BAHISTORY,CLA,55.84,82.26,36.55,24.91,72.9,60.09,272.46,54.492,138.1,97.81
1550,BAHISTORY,CLA,49.95,42.05,85.06,53.82,53.29,60.09,284.17,56.834,92,107.11
1555,BAHISTORY,CLA,55.84,82.26,59.25,10.45,72.9,60.09,280.7,56.14,138.1,83.35
1693,BS ECO,CLA,70.75,66.85,7.54,70.61,43.49,60.09,259.24,51.848,137.6,114.1
1697,BS ECO,CLA,41.05,66.85,59.25,79.96,53.29,60.09,300.4,60.08,107.9,133.25
