,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
0,BS ABE,COE,55.84,71.99,29.96,63.45,63.1,60.09,284.34,56.868,127.83,126.55
1,BS EE,COE,58.56,66.85,85.06,24.91,20.6,60.09,255.98,51.196,125.41,45.51
2,BS CE,COE,52.9,71.99,59.25,24.91,79.78,61.37,288.83,57.766,124.89,104.69
3,BS GE,COE,66.01,30.03,85.06,24.91,53.29,61.37,259.3,51.86,96.04,78.2
4,BS ME,COE,61.05,30.03,59.25,70.61,72.9,61.37,293.84,58.768,91.08,143.51
5,BS SE,COE,49.95,48.4,51.68,63.45,87.72,61.37,301.2,60.24,98.35,151.17
6,BS EE,COE,61.05,30.03,44.12,53.82,95.65,62.48,284.67,56.934,91.08,149.47
7,BS ME,COE,58.56,42.05,44.12,63.45,87.72,62.48,295.9,59.18,100.61,151.17
8,BS COE,COE,63.53,54.75,51.68,63.45,63.1,63.6,296.51,59.302,118.28,126.55
9,BS EE,COE,47.0,15.12,93.41,44.18,95.65,63.6,295.36,59.072,62.12,139.83
10,BS GE,COE,61.05,66.85,66.81,34.54,63.1,63.6,292.35,58.47,127.9,97.64
11,BS ME,COE,47.0,54.75,72.66,75.28,72.9,63.6,322.59,64.518,101.75,148.18
12,BSIE,COE,55.84,30.03,51.68,94.54,53.29,63.6,285.38,57.076,85.87,147.83
13,BS ECE,COE,72.78,48.4,44.12,24.91,83.75,64.72,273.96,54.792,121.18,108.66
14,BS EE,COE,83.47,61.11,51.68,14.31,26.06,64.72,236.63,47.326,144.58,40.37
15,BS ENE,COE,55.84,71.99,76.79,44.18,53.29,64.72,302.09,60.418,127.83,97.47
16,BS ME,COE,55.84,54.75,36.55,75.28,87.72,64.72,310.14,62.028,110.59,163.0
17,BSIE,COE,66.01,66.85,51.68,63.45,43.49,64.72,291.48,58.296,132.86,106.94
