,Course,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,Course_Label
5,BS AGRI,52.9,77.12,29.96,75.28,53.29,61.37,12
6,BS AGRI,68.5,54.75,36.55,70.61,43.49,62.48,12
7,BS AGRI,74.8,66.85,89.19,93.38,72.9,84.19,12
8,BS AGRI,58.56,66.85,72.66,79.96,33.69,66.95,12
9,BS AGRI,58.56,87.4,80.93,34.54,9.69,62.48,12
10,BS AGRI,82.02,61.11,72.66,53.82,87.72,79.72,12
11,BS AGRI,74.8,71.99,76.79,75.28,79.78,79.72,12
13,BS AGRI,55.84,61.11,59.25,24.91,79.78,60.09,12
15,BS AGRI,61.05,48.4,89.19,44.18,33.69,63.6,12
17,BS AGRI,72.78,61.11,44.12,24.91,79.78,65.83,12
18,BS AGRI,58.56,48.4,59.25,63.45,53.29,60.09,12
19,BS AGRI,66.01,61.11,80.93,75.28,53.29,72.43,12
20,BS AGRI,66.01,54.75,51.68,2.74,95.65,61.37,12
21,BS AGRI,41.05,82.26,66.81,75.28,79.78,66.95,12
22,BS AGRI,96.52,92.88,89.19,94.54,63.1,95.73,12
23,BS AGRI,61.05,82.26,59.25,94.54,26.06,73.34,12
25,BS AGRI,72.78,54.75,24.36,24.91,79.78,61.37,12
26,BS AGRI,78.85,42.05,85.06,92.22,87.72,83.5,12
178,BSCS,80.58,92.88,89.19,63.45,79.78,86.26,30
179,BSCS,74.8,30.03,72.66,34.54,53.29,63.6,30
180,BSCS,94.11,66.85,85.06,95.71,87.72,93.85,30
181,BSCS,76.83,87.4,66.81,63.45,83.75,80.63,30
183,BSCS,84.91,61.11,80.93,79.96,72.9,83.5,30
184,BSCS,61.05,77.12,44.12,95.71,53.29,74.25,30
185,BSCS,91.83,82.26,91.97,24.91,91.68,89.65,30
186,BSCS,72.78,66.85,96.28,79.96,83.75,84.88,30
187,BSCS,82.02,54.75,72.66,34.54,83.75,76.07,30
188,BSCS,88.66,87.4,85.06,53.82,43.49,84.88,30
189,BSCS,97.39,94.82,93.41,92.22,91.68,97.27,30
190,BSCS,89.71,42.05,59.25,44.18,33.69,73.34,30
191,BSCS,82.02,25.06,36.55,89.31,72.9,72.43,30
192,BSCS,68.5,66.85,72.66,75.28,87.72,76.98,30
193,BSCS,76.83,71.99,91.97,34.54,72.9,78.81,30
194,BSCS,88.66,94.82,85.06,63.45,43.49,87.64,30
195,BSCS,63.53,35.7,59.25,96.87,83.75,75.16,30
196,BSCS,70.75,71.99,72.66,96.87,20.6,77.9,30
197,BSCS,86.35,98.7,94.84,70.61,63.1,91.08,30
198,BSCS,76.83,82.26,76.79,70.61,72.9,80.63,30
199,BSCS,83.47,66.85,44.12,53.82,83.75,76.98,30
200,BSCS,70.75,82.26,29.96,92.22,53.29,74.25,30
201,BSCS,66.01,48.4,66.81,53.82,72.9,65.83,30
202,BSCS,49.95,87.4,66.81,84.63,72.9,72.43,30
203,BSCS,37.99,48.4,66.81,84.63,87.72,63.6,30
204,BSCS,63.53,61.11,66.81,18.16,63.1,61.37,30
205,BSCS,83.47,71.99,85.06,92.22,72.9,86.95,30
206,BSCS,78.85,87.4,72.66,79.96,83.75,84.19,30
208,BSCS,83.47,71.99,59.25,44.18,72.9,76.98,30
209,BSCS,58.56,48.4,59.25,79.96,53.29,63.6,30
210,BSCS,90.77,87.4,80.93,96.87,99.28,95.73,30
211,BSCS,80.58,77.12,66.81,70.61,79.78,80.63,30
213,BSCS,61.05,71.99,51.68,75.28,33.69,64.72,30
214,BSCS,74.8,25.06,36.55,75.28,63.1,63.6,30
215,BSCS,94.81,92.88,76.79,89.31,72.9,93.22,30
216,BSCS,89.71,82.26,80.93,70.61,79.78,88.22,30
217,BSCS,92.71,87.4,80.93,53.82,79.78,89.17,30
218,BSCS,55.84,48.4,76.79,53.82,43.49,60.09,30
219,BSCS,84.91,90.94,93.41,92.22,83.75,92.03,30
220,BSCS,94.81,90.94,93.41,89.31,97.87,96.17,30
221,BSCS,72.78,77.12,29.96,24.91,53.29,63.6,30
222,BSCS,76.83,54.75,80.93,2.74,63.1,65.83,30
223,BSCS,82.02,77.12,76.79,79.96,43.49,81.43,30
224,BSCS,58.56,54.75,29.96,84.63,79.78,64.72,30
225,BSCS,66.01,87.4,72.66,24.91,33.69,66.95,30
226,BSCS,55.84,66.85,89.19,89.31,79.78,76.98,30
227,BSCS,74.8,92.88,85.06,63.45,72.9,82.81,30
228,BSCS,78.85,90.94,91.97,24.91,43.49,79.72,30
229,BSCS,44.05,71.99,66.81,70.61,79.78,64.72,30
230,BSCS,72.78,61.11,51.68,89.31,53.29,73.34,30
231,BSCS,78.85,61.11,76.79,84.63,87.72,82.81,30
233,BSCS,76.83,71.99,59.25,75.28,83.75,78.81,30
234,BSCS,52.9,61.11,91.97,44.18,72.9,68.07,30
236,BSCS,68.5,87.4,59.25,70.61,63.1,74.25,30
237,BSCS,74.8,35.7,72.66,34.54,26.06,61.37,30
238,BSCS,84.91,61.11,36.55,79.96,83.75,79.72,30
239,BSCS,92.71,82.26,66.81,75.28,72.9,88.22,30
241,BSCS,74.8,71.99,80.93,24.91,33.69,70.3,30
242,BSCS,99.42,94.82,99.92,98.97,98.34,99.82,30
243,BSCS,76.83,71.99,89.19,84.63,33.69,80.63,30
244,BSCS,92.71,94.82,96.28,92.22,98.81,96.9,30
245,BSCS,66.01,20.09,96.28,44.18,83.75,71.42,30
246,BSCS,61.05,48.4,85.06,89.31,53.29,72.43,30
247,BSCS,93.41,77.12,66.81,34.54,87.72,86.95,30
248,BSCS,70.75,77.12,80.93,63.45,53.29,75.16,30
249,BSCS,98.41,96.76,98.58,98.29,95.65,99.23,30
250,BSCS,66.01,66.85,76.79,92.22,63.1,76.98,30
251,BSCS,72.78,54.75,44.12,94.54,63.1,75.16,30
252,BSCS,74.8,82.26,76.79,84.63,63.1,81.43,30
253,BSCS,66.01,54.75,85.06,75.28,91.68,77.9,30
254,BSCS,76.83,71.99,80.93,84.63,72.9,82.12,30
257,BSCS,78.85,61.11,91.97,18.16,79.78,76.98,30
258,BSIT,70.75,66.85,80.93,53.82,53.29,72.43,36
260,BSIT,68.5,61.11,91.97,63.45,26.06,71.42,36
261,BSIT,87.6,77.12,93.41,95.71,83.75,92.9,36
263,BSIT,95.51,87.4,94.84,63.45,83.75,93.85,36
264,BSIT,88.66,87.4,93.41,84.63,79.78,91.56,36
265,BSIT,72.78,71.99,80.93,70.61,63.1,76.98,36
266,BSIT,89.71,77.12,72.66,34.54,63.1,82.12,36
267,BSIT,74.8,82.26,72.66,14.31,72.9,72.43,36
268,BSIT,74.8,77.12,80.93,79.96,33.69,77.9,36
269,BSIT,70.75,61.11,85.06,75.28,63.1,76.07,36
270,BSIT,61.05,42.05,51.68,70.61,63.1,61.37,36
271,BSIT,74.8,25.06,59.25,44.18,43.49,60.09,36
273,BSIT,68.5,48.4,59.25,53.82,72.9,65.83,36
274,BSIT,84.91,94.82,51.68,75.28,63.1,84.19,36
275,BSIT,87.6,94.82,98.58,75.28,91.68,94.16,36
277,BSIT,90.77,82.26,13.15,94.54,72.9,85.57,36
278,BSIT,72.78,42.05,76.79,63.45,72.9,71.42,36
279,BSIT,95.51,71.99,93.41,44.18,87.72,92.03,36
