,Unnamed: 0.1,Unnamed: 0,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
0,0,12,BS AGRICULTURE,College of Agriculture,55.84,61.11,59.25,24.91,79.78,78.399078,280.89,56.178,116.95,104.69
1,1,17,BS AGRICULTURE,College of Agriculture,58.56,48.4,59.25,63.45,53.29,78.399078,282.95,56.59,106.96,116.74
2,2,31,BS AGRIBUSINESS,College of Agriculture,58.56,61.11,72.66,44.18,33.69,73.840000,270.2,54.04,119.67,77.87
3,3,34,BS FOOD TECHNOLOGY,College of Agriculture,47.0,92.88,66.81,18.16,43.49,66.142500,268.34,53.668,139.88,61.65
4,4,48,BS ARCHITECTURE,College of Architecture,76.83,10.15,72.66,24.91,63.1,73.824507,247.65,49.53,86.98,88.01
5,5,79,BS ARCHITECTURE,College of Architecture,74.8,48.4,36.55,14.31,72.9,73.824507,246.96,49.392,123.2,87.21
6,6,155,BS ARCHITECTURE,College of Architecture,44.05,71.99,59.25,70.61,53.29,73.824507,299.19,59.838,116.04,123.9
7,7,177,BS ARCHITECTURE,College of Architecture,49.95,77.12,51.68,34.54,72.9,73.824507,286.19,57.238,127.07,107.44
8,8,184,BACHELOR OF ARTS IN ASIAN STUDIES,CAIS,52.9,61.11,59.25,44.18,72.9,66.431111,290.34,58.068,114.01,117.08
9,9,198,BACHELOR OF ARTS IN ASIAN STUDIES,CAIS,58.56,30.03,44.12,93.38,33.69,66.431111,259.78,51.956,88.59,127.07
10,10,340,BS CRIMINOLOGY,CCJE,55.84,90.94,18.75,44.18,63.1,76.643623,272.81,54.562,146.78,107.28
11,11,383,BS CRIMINOLOGY,CCJE,52.9,54.75,59.25,24.91,87.72,76.643623,279.53,55.906,107.65,112.63
12,12,389,BS CRIMINOLOGY,CCJE,58.56,54.75,29.96,63.45,79.78,76.643623,286.5,57.3,113.31,143.23
13,13,427,BS CRIMINOLOGY,CCJE,63.53,42.05,44.12,44.18,79.78,76.643623,273.66,54.732,105.58,123.96
14,14,489,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,COE,55.84,71.99,29.96,63.45,63.1,69.339600,284.34,56.868,127.83,126.55
15,15,641,BS ELECTRICAL ENGINEERING,COE,58.56,66.85,85.06,24.91,20.6,83.625102,255.98,51.196,125.41,45.51
16,16,889,BS FORESTRY,CFES,41.05,71.99,85.06,44.18,43.49,67.984000,285.77,57.154,113.04,87.67
17,17,908,BS FORESTRY,CFES,63.53,35.7,51.68,44.18,79.78,67.984000,274.87,54.974,99.23,123.96
18,18,916,BS HOME ECONOMICS,CHE,66.01,54.75,36.55,44.18,63.1,69.255758,264.59,52.918,120.76,107.28
19,19,929,BS HOME ECONOMICS,CHE,61.05,35.7,44.12,63.45,79.78,69.255758,284.1,56.82,96.75,143.23
20,20,965,BS NUTRITION AND DIETETICS,CHE,49.95,66.85,36.55,84.63,43.49,73.344211,281.47,56.294,116.8,128.12
21,21,1007,BS HOSPITALITY MANAGEMENT,CHE,47.0,87.4,44.12,70.61,33.69,74.884545,282.82,56.564,134.4,104.3
22,22,1030,BS COMPUTER SCIENCE,CCS,58.56,87.4,29.96,44.18,43.49,77.825882,263.59,52.718,145.96,87.67
23,23,1031,BS COMPUTER SCIENCE,CCS,44.05,77.12,59.25,63.45,53.29,77.825882,297.16,59.432,121.17,116.74
24,24,1051,BS COMPUTER SCIENCE,CCS,61.05,77.12,44.12,34.54,43.49,77.825882,260.32,52.064,138.17,78.03
25,25,1066,BS COMPUTER SCIENCE,CCS,55.84,48.4,76.79,53.82,43.49,77.825882,278.34,55.668,104.24,97.31
26,26,1120,BS INFORMATION TECHNOLOGY,CCS,76.83,35.7,36.55,24.91,63.1,79.527073,237.09,47.418,112.53,88.01
27,27,1128,BS INFORMATION TECHNOLOGY,CCS,74.8,25.06,59.25,44.18,43.49,79.527073,246.78,49.356,99.86,87.67
28,28,1158,BS INFORMATION TECHNOLOGY,CCS,63.53,77.12,59.25,24.91,26.06,79.527073,250.87,50.174,140.65,50.97
29,29,1221,BA ENGLISH,CLA,55.84,71.99,51.68,79.96,15.15,73.824507,274.62,54.924,127.83,95.11
30,30,1223,BA ENGLISH,CLA,58.56,71.99,36.55,89.31,9.69,73.824507,266.1,53.22,130.55,99.0
31,31,1262,BA ENGLISH,CLA,55.84,30.03,76.79,24.91,87.72,73.824507,275.29,55.058,85.87,112.63
32,32,1272,BA FILIPINO ,CLA,68.5,48.4,18.75,63.45,72.9,60.09,272.0,54.4,116.9,136.35
33,33,1277,BA FILIPINO ,CLA,52.9,66.85,72.66,63.45,26.06,60.09,281.92,56.384,119.75,89.51
34,34,1290,BA FILIPINO ,CLA,52.9,42.05,80.93,53.82,53.29,60.09,282.99,56.598,94.95,107.11
35,35,1310,BA JOURNALISM,CLA,37.99,66.85,51.68,70.61,83.75,71.693171,310.88,62.176,104.84,154.36
36,36,1329,BA JOURNALISM,CLA,63.53,61.11,59.25,18.16,63.1,71.693171,265.15,53.03,124.64,81.26
37,37,1410,BA POLITICAL SCIENCE,CLA,58.56,61.11,36.55,70.61,53.29,78.358544,280.12,56.024,119.67,123.9
38,38,1445,BS BROAD,CLA,41.05,77.12,66.81,53.82,63.1,74.037778,301.9,60.38,118.17,116.92
39,39,1455,BS BROAD,CLA,55.84,48.4,51.68,70.61,63.1,74.037778,289.63,57.926,104.24,133.71
